timestamp,overall_score,revitalization_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,day_of_week,year,month,hour,day_of_week_encoded
2023-07-27 05:59:30,81,81,99,64,0.0689206762028608,Thursday,2023,7,5,4
2023-07-28 06:01:00,75,75,86,64,0.0594744121715076,Friday,2023,7,6,0
2023-07-29 08:53:30,82,82,96,64,0.047936085219707,Saturday,2023,7,8,2
2023-07-30 09:04:00,84,84,121,61,0.0767634854771784,Sunday,2023,7,9,3
2023-08-01 05:57:30,70,70,80,61,0.078902229845626,Tuesday,2023,8,5,5
2023-08-02 05:58:00,67,67,92,61,0.0822320117474302,Wednesday,2023,8,5,6
2023-08-03 06:02:00,60,60,34,63,0.0716049382716049,Thursday,2023,8,6,4
2023-08-04 09:03:30,83,83,124,62,0.0837124658780709,Friday,2023,8,9,0
2023-08-05 11:00:00,84,84,133,61,0.1135940409683426,Saturday,2023,8,11,2
2023-08-06 09:16:30,85,85,108,59,0.0571736785329018,Sunday,2023,8,9,3
2023-08-07 05:45:30,65,65,87,59,0.1032786885245901,Monday,2023,8,5,1
2023-08-08 05:52:30,66,66,89,59,0.1020689655172413,Tuesday,2023,8,5,5
2023-08-09 08:25:30,85,85,124,61,0.080797481636936,Wednesday,2023,8,8,6
2023-08-10 05:47:00,78,78,93,61,0.038917089678511,Thursday,2023,8,5,4
2023-08-11 05:53:30,70,70,69,60,0.0367107195301027,Friday,2023,8,5,0
2023-08-12 03:22:30,56,56,23,61,0.048780487804878,Saturday,2023,8,3,2
2023-08-13 09:59:30,81,81,127,63,0.109841827768014,Sunday,2023,8,9,3
2023-08-14 05:54:00,72,72,74,62,0.067001675041876,Monday,2023,8,5,1
2023-08-15 05:54:30,73,73,104,59,0.0773130544993662,Tuesday,2023,8,5,5
2023-08-16 05:53:30,67,67,67,61,0.0601092896174863,Wednesday,2023,8,5,6
2023-08-17 06:02:30,77,77,102,61,0.0858652575957727,Thursday,2023,8,6,4
2023-08-20 08:50:30,86,86,119,61,0.0467661691542288,Sunday,2023,8,8,3
2023-08-21 05:56:30,72,72,96,60,0.0595611285266457,Monday,2023,8,5,1
2023-08-22 04:45:30,64,64,59,62,0.0427553444180522,Tuesday,2023,8,4,5
2023-08-23 08:51:30,82,82,136,63,0.0719424460431654,Wednesday,2023,8,8,6
2023-08-24 05:57:00,77,77,98,64,0.0386398763523956,Thursday,2023,8,5,4
2023-08-25 09:07:00,80,80,65,63,0.0941526263627353,Friday,2023,8,9,0
2023-08-27 09:30:30,81,81,73,64,0.0679611650485436,Sunday,2023,8,9,3
2023-08-28 05:54:30,76,76,81,63,0.0613138686131386,Monday,2023,8,5,1
2023-08-30 08:50:30,77,77,74,63,0.0705052878965922,Wednesday,2023,8,8,6
2023-09-01 09:14:30,85,85,82,62,0.0874418604651162,Friday,2023,9,9,0
2023-09-03 09:26:30,82,82,105,60,0.0664916885389326,Sunday,2023,9,9,3
2023-09-04 08:24:00,81,81,130,63,0.1077908217716115,Monday,2023,9,8,1
2023-09-05 05:56:30,76,76,66,61,0.0744525547445255,Tuesday,2023,9,5,5
2023-09-06 09:17:30,88,88,99,60,0.074074074074074,Wednesday,2023,9,9,6
2023-09-07 09:17:00,87,87,106,59,0.0396732788798133,Thursday,2023,9,9,4
2023-09-09 08:18:30,81,81,101,58,0.0543615676359039,Saturday,2023,9,8,2
2023-09-11 06:13:30,65,65,60,58,0.0927487352445193,Monday,2023,9,6,1
2023-09-12 05:13:00,70,70,70,58,0.0443159922928709,Tuesday,2023,9,5,5
2023-09-13 05:59:30,77,77,62,59,0.0737812911725955,Wednesday,2023,9,5,6
2023-09-14 08:49:00,81,81,126,59,0.1071107110711071,Thursday,2023,9,8,4
2023-09-15 05:57:30,73,73,60,60,0.0661896243291592,Friday,2023,9,5,0
2023-09-16 09:29:00,83,83,152,60,0.0591216216216216,Saturday,2023,9,9,2
2023-09-17 09:36:30,66,66,48,60,0.1073446327683615,Sunday,2023,9,9,3
2023-09-18 08:19:00,77,77,78,60,0.0559167750325097,Monday,2023,9,8,1
2023-09-19 06:02:00,67,67,76,60,0.1044045676998368,Tuesday,2023,9,6,5
2023-09-20 09:25:00,88,88,116,60,0.0440795159896283,Wednesday,2023,9,9,6
2023-09-21 05:53:30,71,71,75,60,0.0692913385826771,Thursday,2023,9,5,4
2023-09-22 05:55:00,74,74,71,60,0.0575916230366492,Friday,2023,9,5,0
2023-09-23 09:43:00,80,80,116,60,0.064516129032258,Saturday,2023,9,9,2
2023-09-24 08:17:00,77,77,125,60,0.0607661822985469,Sunday,2023,9,8,3
2023-09-25 08:01:30,70,70,41,63,0.0525547445255474,Monday,2023,9,8,1
2023-09-27 09:46:00,84,84,115,63,0.0491958372753074,Wednesday,2023,9,9,6
2023-09-28 07:38:30,80,80,88,64,0.0586881472957422,Thursday,2023,9,7,4
2023-09-29 11:17:00,88,88,179,63,0.0449339207048458,Friday,2023,9,11,0
2023-09-30 07:52:30,81,81,79,62,0.0618181818181818,Saturday,2023,9,7,2
2023-10-01 07:47:30,74,74,67,60,0.1001300390117035,Sunday,2023,10,7,3
2023-10-02 08:58:00,85,85,131,58,0.0587138863000931,Monday,2023,10,8,1
2023-10-04 07:40:00,76,76,106,61,0.0747451868629671,Wednesday,2023,10,7,6
2023-10-06 08:14:30,86,86,107,63,0.0394600207684319,Friday,2023,10,8,0
2023-10-07 07:45:30,84,84,124,63,0.0635091496232508,Saturday,2023,10,7,2
2023-10-08 07:12:00,70,70,37,64,0.0614439324116743,Sunday,2023,10,7,3
2023-10-09 08:59:30,87,87,117,64,0.0510314875135722,Monday,2023,10,8,1
2023-10-10 08:25:00,82,82,119,64,0.0599250936329588,Tuesday,2023,10,8,5
2023-10-11 08:59:30,81,81,123,65,0.0772093023255813,Wednesday,2023,10,8,6
2023-10-12 07:18:00,73,73,75,68,0.0670926517571885,Thursday,2023,10,7,4
2023-10-13 08:07:00,79,79,87,67,0.0708782742681047,Friday,2023,10,8,0
2023-10-14 07:51:00,83,83,95,65,0.0424469413233458,Saturday,2023,10,7,2
2023-10-15 11:43:30,87,87,161,65,0.1000781860828772,Sunday,2023,10,11,3
2023-10-16 07:37:30,80,80,80,64,0.056551724137931,Monday,2023,10,7,1
2023-10-17 07:44:30,83,83,72,63,0.0502645502645502,Tuesday,2023,10,7,5
2023-10-19 08:32:30,80,80,105,63,0.063519313304721,Thursday,2023,10,8,4
2023-10-20 05:47:30,73,73,58,62,0.0829756795422031,Friday,2023,10,5,0
2023-10-21 07:50:00,77,77,85,62,0.056203605514316,Saturday,2023,10,7,2
2023-10-22 11:08:30,86,86,76,64,0.0548604427333975,Sunday,2023,10,11,3
2023-10-23 09:24:00,76,76,53,61,0.0459940652818991,Monday,2023,10,9,1
2023-10-24 09:07:30,82,82,72,59,0.0805300713557594,Tuesday,2023,10,9,5
2023-10-25 08:32:00,78,78,96,59,0.0574098798397863,Wednesday,2023,10,8,6
2023-10-26 08:50:30,82,82,110,59,0.0763956904995102,Thursday,2023,10,8,4
2023-10-27 08:50:30,58,58,28,58,0.094017094017094,Friday,2023,10,8,0
2023-10-28 07:48:30,78,78,91,58,0.0564617314930991,Saturday,2023,10,7,2
2023-10-29 08:20:30,81,81,33,57,0.053050397877984,Sunday,2023,10,8,3
2023-10-30 05:48:30,75,75,94,56,0.0478199718706047,Monday,2023,10,5,1
2023-10-31 08:53:00,83,83,142,57,0.0702222222222222,Tuesday,2023,10,8,5
2023-11-02 08:43:30,84,84,127,61,0.0663221360895779,Thursday,2023,11,8,4
2023-11-03 05:54:00,72,72,72,62,0.067001675041876,Friday,2023,11,5,0
2023-11-04 07:05:30,84,84,104,62,0.0534521158129175,Saturday,2023,11,7,2
2023-11-05 08:33:00,75,75,114,62,0.0472673559822747,Sunday,2023,11,8,3
2023-11-06 04:30:00,61,61,42,62,0.0395061728395061,Monday,2023,11,4,1
2023-11-07 08:30:00,79,79,83,64,0.067024128686327,Tuesday,2023,11,8,5
2023-11-09 05:50:00,69,69,75,62,0.0706214689265536,Thursday,2023,11,5,4
2023-11-10 09:18:30,86,86,147,62,0.0563654033041788,Friday,2023,11,9,0
2023-11-11 07:28:30,76,76,108,63,0.037410071942446,Saturday,2023,11,7,2
2023-11-12 08:29:30,89,89,156,65,0.0585267406659939,Sunday,2023,11,8,3
2023-11-13 05:58:00,66,66,60,64,0.0826271186440678,Monday,2023,11,5,1
2023-11-14 05:54:30,76,76,64,65,0.0769230769230769,Tuesday,2023,11,5,5
2023-11-15 05:23:00,81,81,73,65,0.0466786355475763,Wednesday,2023,11,5,6
2023-11-16 06:01:30,84,84,99,64,0.05140758873929,Thursday,2023,11,6,4
2023-11-17 09:14:00,87,87,114,63,0.0532825880114177,Friday,2023,11,9,0
2023-11-18 07:59:00,83,83,104,63,0.068100358422939,Saturday,2023,11,7,2
